Date;CAC 40;SP500
10.12.2013;4091.139893;1792.810059
09.12.2013;4134.100098;1795.150024
06.12.2013;4129.370117;1800.900024
05.12.2013;4099.910156;1805.810059
04.12.2013;4148.52002;1807.22998
03.12.2013;4172.439941;1802.75
02.12.2013;4285.810059;1802.47998
29.11.2013;4295.209961;1804.76001
28.11.2013;4302.419922;1795.849976
27.11.2013;4293.060059;1781.369995
26.11.2013;4277.569824;1787.869995
25.11.2013;4301.970215;1791.530029
22.11.2013;4278.529785;1798.180054
21.11.2013;4253.899902;1790.619995
20.11.2013;4268.370117;1782
19.11.2013;4272.290039;1767.689941
18.11.2013;4320.680176;1771.890015
15.11.2013;4292.22998;1770.609985
14.11.2013;4283.910156;1747.150024
13.11.2013;4239.939941;1770.48999
12.11.2013;4263.779785;1762.969971
11.11.2013;4290.140137;1767.930054
08.11.2013;4260.439941;1761.640015
07.11.2013;4280.990234;1756.540039
06.11.2013;4286.930176;1763.310059
05.11.2013;4253.339844;1771.949951
04.11.2013;4288.589844;1762.109985
01.11.2013;4273.189941;1759.77002
31.10.2013;4299.890137;1752.069946
30.10.2013;4274.109863;1746.380005
29.10.2013;4278.089844;1754.670044
28.10.2013;4251.609863;1744.660034
25.10.2013;4272.310059;1744.5
24.10.2013;4275.689941;1733.150024
23.10.2013;4260.660156;1721.540039
22.10.2013;4295.430176;1698.060059
21.10.2013;4276.919922;1710.140015
18.10.2013;4286.029785;1703.199951
17.10.2013;4239.640137;1692.560059
16.10.2013;4243.720215;1656.400024
15.10.2013;4256.02002;1655.449951
14.10.2013;4222.959961;1676.119995
11.10.2013;4219.97998;1690.5
10.10.2013;4218.109863;1678.660034
09.10.2013;4127.049805;1693.869995
08.10.2013;4133.529785;1695
07.10.2013;4165.580078;1681.550049
04.10.2013;4164.25;1691.75
03.10.2013;4127.97998;1698.670044
02.10.2013;4158.160156;1692.77002
01.10.2013;4196.600098;1697.420044
30.09.2013;4143.439941;1701.839966
27.09.2013;4186.77002;1709.910034
26.09.2013;4186.720215;1722.339966
25.09.2013;4195.350098;1725.52002
24.09.2013;4195.609863;1704.76001
23.09.2013;4172.080078;1697.599976
20.09.2013;4203.660156;1687.98999
19.09.2013;4206.040039;1683.420044
18.09.2013;4170.399902;1689.130005
17.09.2013;4145.509766;1683.98999
16.09.2013;4152.220215;1671.709961
13.09.2013;4114.5;1655.170044
12.09.2013;4106.629883;1655.079956
11.09.2013;4119.109863;1653.079956
10.09.2013;4116.640137;1639.77002
09.09.2013;4040.330078;1632.969971
06.09.2013;4049.189941;1638.170044
05.09.2013;4006.800049;1634.959961
04.09.2013;3980.419922;1630.47998
03.09.2013;3974.070068;1656.780029
02.09.2013;4006.01001;1663.5
30.08.2013;3933.780029;1656.959961
29.08.2013;3986.350098;1642.800049
28.08.2013;3960.459961;1652.349976
27.08.2013;3968.72998;1646.060059
26.08.2013;4067.129883;1655.829956
23.08.2013;4069.469971;1661.319946
22.08.2013;4059.120117;1685.390015
21.08.2013;4015.090088;1694.160034
20.08.2013;4028.929932;1689.469971
19.08.2013;4083.97998;1691.420044
16.08.2013;4123.890137;1697.47998
15.08.2013;4093.199951;1690.910034
14.08.2013;4114.200195;1697.369995
13.08.2013;4092.5;1707.140015
12.08.2013;4071.679932;1709.670044
09.08.2013;4076.550049;1706.869995
08.08.2013;4064.320068;1685.72998
07.08.2013;4038.48999;1685.959961
06.08.2013;4032.570068;1685.329956
05.08.2013;4049.969971;1691.650024
02.08.2013;4045.649902;1690.25
01.08.2013;4042.72998;1685.939941
31.07.2013;3992.689941;1692.390015
30.07.2013;3986.610107;1695.530029
29.07.2013;3968.909912;1692.089966
26.07.2013;3968.840088;1689.369995
25.07.2013;3956.02002;1680.910034
24.07.2013;3962.75;1676.26001
23.07.2013;3923.090088;1682.5
22.07.2013;3939.919922;1680.189941
19.07.2013;3925.320068;1675.02002
18.07.2013;3927.790039;1652.619995
17.07.2013;3872.02002;1652.319946
16.07.2013;3851.030029;1640.459961
15.07.2013;3878.580078;1631.890015
