Date,DAX,CAC40
29.08.2013,8285.410156,3986.350098
28.08.2013,8300.030273,3960.459961
27.08.2013,8366.290039,3968.72998
26.08.2013,8391.94043,4067.129883
23.08.2013,8376.290039,4069.469971
22.08.2013,8438.120117,4059.120117
21.08.2013,8415.759766,4015.090088
20.08.2013,8359.25,4028.929932
19.08.2013,8338.30957,4083.97998
16.08.2013,8318.320312,4123.890137
15.08.2013,8260.480469,4093.199951
14.08.2013,8299.730469,4114.200195
13.08.2013,8398.379883,4092.5
12.08.2013,8406.94043,4071.679932
09.08.2013,8410.730469,4076.550049
08.08.2013,8275.969727,4064.320068
07.08.2013,8271.019531,4038.48999
06.08.2013,8259.030273,4032.570068
05.08.2013,8244.910156,4049.969971
02.08.2013,8298.980469,4045.649902
01.08.2013,8379.110352,4042.72998
31.07.2013,8314.230469,3992.689941
30.07.2013,8331.05957,3986.610107
29.07.2013,8331.570312,3968.909912
26.07.2013,8337.089844,3968.840088
25.07.2013,8254.719727,3956.02002
24.07.2013,8201.049805,3962.75
23.07.2013,8234.80957,3923.090088
22.07.2013,8212.769531,3939.919922
19.07.2013,8158.799805,3925.320068
18.07.2013,8066.47998,3927.790039
17.07.2013,8057.75,3872.02002
16.07.2013,7968.540039,3851.030029
15.07.2013,7806,3878.580078
12.07.2013,7994.310059,3855.090088
11.07.2013,7829.319824,3868.97998
10.07.2013,7910.77002,3840.530029
09.07.2013,7983.919922,3843.560059
08.07.2013,7959.220215,3823.830078
05.07.2013,7990.75,3753.850098
04.07.2013,7940.990234,3809.310059
03.07.2013,7811.299805,3702.01001
02.07.2013,7692.450195,3742.570068
01.07.2013,7789.240234,3767.47998
28.06.2013,7928.47998,3738.909912
27.06.2013,8197.080078,3762.189941
26.06.2013,8229.509766,3726.040039
25.06.2013,8215.730469,3649.820068
24.06.2013,8127.959961,3595.629883
21.06.2013,8095.390137,3658.040039
20.06.2013,8143.27002,3698.929932
19.06.2013,8222.459961,3839.340088
18.06.2013,8307.69043,3860.550049
17.06.2013,8254.679688,3863.659912
14.06.2013,8098.810059,3805.159912
13.06.2013,8196.179688,3797.97998
12.06.2013,8295.959961,3793.699951
11.06.2013,8285.799805,3810.560059
10.06.2013,8348.839844,3864.360107
07.06.2013,8400.200195,3872.590088
06.06.2013,8336.580078,3814.280029
