Time,Code,Y,FSANL,FSCD,FSEIM,FSERA
2011,United_States,5.85,3.781504469,134.1722841,65.18118446,0.275557956
2011,United_Kingdom,4.18,3.961868206,108.3772287,44.18616859,0.294420114
2011,Austria,6.59,2.706815505,75.0789618,63.27490942,0.079601878
2011,Belgium,5.71,3.348676919,100.8970407,67.11982915,0.058061496
2011,Denmark,5.93,3.659647255,31.29298547,78.89171843,-0.031415456
2011,France,4.8,4.291449589,66.11797592,41.41215337,0.392206475
2011,Germany,6.2,3.03,73.58740654,72.88875412,0.530502234
2011,Italy,4.8,11.74234918,58.16741699,57.09348688,-0.871738501
2011,Luxembourg,5.36,0.379416485,118.5822082,33.55814126,0.256098049
2011,Netherlands,6.09,2.710876908,,73.00191869,0.418385817
2011,Norway,7.74,1.684349073,,37.62699301,0.861017197
2011,Sweden,6.69,0.654054945,,59.34514571,0.607594685
2011,Switzerland,7.34,0.809200246,104.4734591,31.13157147,0.670700674
2011,Canada,7.28,0.800112612,113.5366567,49.33826055,1.097352321
2011,Japan,4.38,2.447413261,133.3705239,69.27631646,0.326280017
2011,Finland,5.55,,57.15310142,46.56144307,0.497428313
2011,Greece,3.05,14.42825429,85.47841548,87.30881276,-9.518427038
2011,Ireland,2.86,16.12146944,,40.61929906,-0.887269106
2011,Portugal,2.57,7.508992637,67.01285585,57.49088934,-0.347918709
2011,Spain,3.05,6.007281034,76.05433367,64.63747509,0.08643868
2011,Turkey,6.37,2.576322112,95.97923117,65.17668374,2.225124933
2011,Australia,7.68,1.98162568,,71.17199556,1.241991501
2011,Argentina,5.85,1.395598406,140.1345499,36.60976671,3.912394242
2011,Brazil,6.67,3.466864091,119.7591987,78.20704829,1.701244596
2011,Peru,5.99,2.892750584,96.61450973,84.67016708,2.340529483
2011,Israel,6.83,2.494150554,111.2514317,65.24253303,0.783356174
2011,"China,_P.R.:_Hong_Kong",5.96,0.69,149.41,45.32,0.847
2011,India,7.33,2.670195015,116.0291949,71.7798711,0.889215541
2011,Indonesia,6.05,2.144126805,116.950009,59.77053736,2.305776436
2011,"Korea,_Republic_of",5.52,0.484155587,82.52422512,73.64978903,1.049530808
2011,Malaysia,6.81,2.681390308,,53.47888523,1.51337181
2011,Philippines,6.24,2.555457719,139.0357458,62.20154104,1.604379642
2011,Singapore,6.18,1.060455609,113.8613384,65.14996939,1.14356545
2011,Kazakhstan,5.29,20.66546795,85.26304407,69.68172869,1.281044949
2011,Bulgaria,2.78,14.97361396,95.40140861,73.2435528,0.630390446
2011,Russian_Federation,3.22,6.590142016,70.86578593,43.13965828,2.469318859
2011,"China,_P.R.:_Mainland",6.44,0.961585529,,80.67515536,1.281112521
2011,Ukraine,2.22,14.73228843,61.18626518,63.07086714,-0.740465045
2011,Czech_Republic,5.05,5.21725204,125.9935436,64.45014863,1.199292695
2011,Slovak_Republic,3.71,5.612870256,109.4135095,70.47280276,0.721453097
2011,Estonia,6.39,4.045307443,75.48543689,54.95209566,3.511166603
2011,Hungary,3.45,13.3898522,,69.11292516,-0.706170987
2011,Lithuania,3.45,18.84312162,80.86747712,50.31755797,1.745475112
2011,Croatia,2.4,12.27291593,77.45619162,66.06463385,2.409417354
2011,Slovenia,3.41,11.81402139,,65.30295126,-0.891031701
2011,Poland,6,4.662877368,83.46762262,55.79494964,1.251299178
2011,Romania,4.85,14.3279566,83.97206042,61.98929367,-0.230700155
2012,United_States,6.22,3.317291624,137.9222961,60.82918013,0.32508817
2012,Austria,6.43,2.813364766,76.56712851,59.28011939,0.327840824
